StudentID,RollNumber,Name,Gender,Age,Department,Year,Semester,Subjects,FatherName,MotherName,FatherOccupation,MotherOccupation,Siblings,Phone,Email,Address,City,State,Pincode,CGPA,Attendance,BloodGroup,Hobby,Club,CareerGoal,Hosteller,Scholarship,EmergencyContact
STU03232,2026AE3232,Dayita Taneja,Male,21,AE,1,1,Mathematics I | Physics | Engineering Mechanics | English Communication,Balveer Taneja,Aadhya Taneja,Doctor,Teacher,3,+91 7145958408,dayitataneja@college.edu,"90/13, Pillai Path",Mangalore,Mizoram,250151,9.15,67,O+,Coding,Music Club,Robotics Engineer,No,None,+91 8462447121
STU00556,2026CS0556,Vivaan Goswami,Male,20,CS,4,8,Deep Learning | Blockchain Technology | Elective IV | Project II,Upkaar Goswami,Yashvi Goswami,Farmer,Businessman,2,+91 9885678366,vivaangoswami@college.edu,"49
Soman Path",Kota,Andhra Pradesh,948711,8.31,67,A-,Drawing,Coding Club,Robotics Engineer,Yes,Merit,+91 8822124280
STU00120,2026ME0120,Inaya Iyengar,Female,18,ME,3,6,Robotics | CAD/CAM | Elective III | Project II,Sarthak Iyengar,Krishna Iyengar,Businessman,Doctor,2,+91 8197416086,inayaiyengar@college.edu,"16, Chand Path",Baranagar,Uttar Pradesh,160768,9.58,65,B+,Cricket,NSS,Professor,Yes,None,+91 9796009793
STU00171,2026ME0171,Ryan Natarajan,Male,24,ME,3,5,Automobile Engineering | Industrial Engineering | Elective II | Project I,Logan Natarajan,Brinda Natarajan,Teacher,Police Officer,0,+91 6910770065,ryannatarajan@college.edu,"086, Magar Marg",Chinsurah,West Bengal,389340,5.77,86,AB+,Reading,Coding Club,Entrepreneur,Yes,Merit,+91 7503100061
STU01477,2026CS1477,Wriddhish Bobal,Male,18,CS,4,8,Deep Learning | Blockchain Technology | Elective IV | Project II,Rehaan Bobal,Yadavi Bobal,Businessman,Farmer,4,+91 6541413975,wriddhishbobal@college.edu,"87, Dada",Madhyamgram,Sikkim,100346,8.43,69,O-,Reading,Music Club,Professor,No,None,+91 8107729664
STU02547,2026CS2547,Vasatika Golla,Male,20,CS,2,3,Algorithms | Computer Organization | Database Systems | Operating Systems,Rohan Golla,Lavanya Golla,Teacher,Lawyer,0,+91 6612575603,vasatikagolla@college.edu,"08, Naidu",Kochi,Haryana,309849,7.11,96,AB+,Reading,NCC,Entrepreneur,No,Merit,+91 8622335982
STU01640,2026CE1640,Ubika Contractor,Male,22,CE,3,6,Construction Management | Environmental Engineering | Elective III | Project II,Aryan Contractor,Yadavi Contractor,Farmer,Farmer,1,+91 9266370256,ubikacontractor@college.edu,"78, Dhar Zila",Durgapur,Madhya Pradesh,558005,8.93,79,B+,Reading,Photography Club,Pilot,Yes,ST,+91 9075578605
STU00387,2026AIML0387,Dhruv Boase,Male,19,AI/ML,3,6,Computer Vision | Reinforcement Learning | Elective III | Project II,Michael Boase,Aadhya Boase,Lawyer,Businessman,1,+91 9363265319,dhruvboase@college.edu,"20
Thakkar Road",Bhusawal,Maharashtra,336074,6.65,91,AB+,Cricket,NSS,Data Scientist,Yes,SC,+91 6600743526
STU02751,2026CE2751,Harrison Goel,Male,17,CE,2,4,Hydrology | Transportation Engineering | Concrete Technology | Elective I,Orinder Goel,Charita Goel,Farmer,Engineer,1,+91 6462435663,harrisongoel@college.edu,"H.No. 563, Som Circle",Bhalswa Jahangir Pur,Goa,710198,5.53,71,B+,Robotics,Photography Club,Professor,No,SC,+91 9494658972
STU03656,2026EE3656,Jonathan Goswami,Female,24,EE,2,3,Electromagnetics | Electrical Machines I | Signals & Systems | Power Electronics,Balveer Goswami,Mohini Goswami,Police Officer,Lawyer,0,+91 9953591110,jonathangoswami@college.edu,"60/572, Dutt Nagar",Bilaspur,Goa,762869,8.3,67,O-,Gaming,NCC,Entrepreneur,No,Merit,+91 9686756759
STU00350,2026IIOT0350,Saanvi Gole,Male,21,IIOT,1,2,Mathematics II | Data Structures | Digital Logic | Environmental Studies,Raghav Gole,Ladli Gole,Businessman,Police Officer,2,+91 9569123636,saanvigole@college.edu,"H.No. 459
Pant Zila",Nellore,Odisha,507175,6.5,70,O+,Football,Sports Club,Entrepreneur,Yes,OBC,+91 6384242120
STU03867,2026CS3867,Anamika Bath,Female,22,CS,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Chaitanya Bath,Waida Bath,Police Officer,Farmer,4,+91 6437943263,anamikabath@college.edu,"82/83, Maharaj Marg",Kolkata,Manipur,944208,8.98,89,AB+,Music,Drama Club,Entrepreneur,Yes,OBC,+91 8337164961
STU02239,2026CT2239,Karan Basak,Female,18,CT,1,2,Mathematics II | Data Structures | Digital Logic | Environmental Studies,Bachittar Basak,Jasmit Basak,Engineer,Farmer,3,+91 6598533675,karanbasak@college.edu,"H.No. 704
Golla Marg",Nizamabad,Gujarat,532312,7.32,74,B-,Drawing,Sports Club,AI Engineer,No,OBC,+91 8918124002
STU02265,2026IIOT2265,Edhitha Nagar,Male,24,IIOT,3,5,IoT Protocols | Cloud Computing | Elective II | Project I,Quincy Nagar,Chaman Nagar,Engineer,Engineer,0,+91 7954592401,edhithanagar@college.edu,"82/70
Cherian",Kadapa,Gujarat,554074,5.55,74,A-,Gaming,NSS,Data Scientist,No,OBC,+91 7740754088
STU01848,2026CT1848,Anya Ramaswamy,Female,19,CT,2,3,Computer Architecture | Database Systems | Operating Systems | Discrete Mathematics,Robert Ramaswamy,Pallavi Ramaswamy,Farmer,Doctor,2,+91 9047682996,anyaramaswamy@college.edu,"H.No. 13, Sachdev",Raebareli,Punjab,914400,7.24,82,A+,Football,NSS,Professor,No,EWS,+91 6548188700
STU02897,2026CE2897,Liam Mangal,Female,21,CE,1,1,Mathematics I | Physics | Engineering Mechanics | English Communication,Guneet Mangal,Vritti Mangal,Government Employee,Police Officer,0,+91 6328196887,liammangal@college.edu,"H.No. 495, Rastogi Street",Hospet,Mizoram,070157,7.14,77,A+,Football,NSS,Entrepreneur,No,SC,+91 7855770599
STU01270,2026AE1270,Yoshita Dar,Female,20,AE,1,1,Mathematics I | Physics | Engineering Mechanics | English Communication,Michael Dar,Yashvi Dar,Businessman,Teacher,0,+91 9420025333,yoshitadar@college.edu,"H.No. 322
Karan Zila",Darbhanga,Andhra Pradesh,243387,6.15,84,B-,Drawing,Music Club,Data Scientist,No,ST,+91 9623315082
STU03116,2026CE3116,Chatura Nagy,Female,20,CE,2,3,Fluid Mechanics | Structural Analysis | Building Materials | Geotechnical Engineering,Owen Nagy,Yasti Nagy,Doctor,Businessman,2,+91 7094712538,chaturanagy@college.edu,"18/735
Basak Path",Yamunanagar,Haryana,892431,8.49,62,A-,Robotics,Robotics Club,Entrepreneur,No,Merit,+91 7811716408
STU00255,2026CT0255,Yadavi Gour,Female,22,CT,3,5,Cloud Computing | Cybersecurity | Elective II | Compiler Design,Karan Gour,Jalsa Gour,Government Employee,Doctor,2,+91 8104133449,yadavigour@college.edu,"H.No. 663
Pathak Circle",Khora ,Nagaland,402556,8.85,71,A-,Music,Music Club,Robotics Engineer,Yes,SC,+91 7089134319
STU02474,2026ETC2474,Omaja Vasa,Male,19,ETC,3,6,Wireless Communication | Embedded Systems | Elective III | Project II,Gaurang Vasa,Omaja Vasa,Engineer,Doctor,3,+91 8041569070,omajavasa@college.edu,"75, Bobal Zila",Kurnool,Uttar Pradesh,815586,8.11,78,AB+,Football,Coding Club,Entrepreneur,Yes,None,+91 8849610316
STU01509,2026ETC1509,Fitan Saxena,Female,22,ETC,2,4,Communication Systems | Control Systems | Elective I | Probability & Statistics,Lakshit Saxena,Baghyawati Saxena,Engineer,Businessman,1,+91 6065357519,fitansaxena@college.edu,"88/55, Prashad Street",Panvel,Karnataka,881802,7.19,69,A+,Music,Sports Club,Robotics Engineer,No,OBC,+91 8478101123
STU02989,2026EC2989,Damyanti Lad,Male,20,EC,3,6,Wireless Communication | Embedded Systems | Elective III | Project II,Ronith Lad,Libni Lad,Businessman,Doctor,4,+91 9348861428,damyantilad@college.edu,"19/048, Krishnan Circle",Jaunpur,Himachal Pradesh,097764,7.08,61,A-,Drawing,Photography Club,Research Scientist,No,OBC,+91 8224600934
STU00086,2026EE0086,Ati Lad,Female,21,EE,4,7,High Voltage Engineering | Energy Management | Elective IV | Seminar,Warjas Lad,Priya Lad,Doctor,Farmer,3,+91 6216503272,atilad@college.edu,"54/02, Raju Marg",Gurgaon,Tamil Nadu,579088,6.4,60,A-,Chess,Music Club,Software Engineer,No,Merit,+91 9396006665
STU02598,2026RE2598,Zansi Agate,Male,21,RE,4,8,Smart Renewable Systems | Future Energy Technologies | Elective V | Capstone Project,Nihal Agate,Panini Agate,Farmer,Farmer,3,+91 7155019623,zansiagate@college.edu,"264, Mohanty Circle",Erode,West Bengal,613532,7.08,68,B+,Coding,NCC,Professor,Yes,EWS,+91 7090670583
STU01730,2026DS1730,Nathaniel Dube,Male,23,DS,4,8,AI for Data Science | Advanced Analytics | Elective V | Capstone Project,Rohan Dube,Saumya Dube,Lawyer,Farmer,0,+91 6872141716,nathanieldube@college.edu,"H.No. 72
Sidhu Marg",Barasat,West Bengal,946629,9.38,68,AB+,Robotics,NSS,Professor,Yes,None,+91 8986943480
STU02029,2026EC2029,Jeremiah Bala,Male,21,EC,4,8,5G Networks | IoT Communication | Elective V | Capstone Project,Rehaan Bala,Warhi Bala,Government Employee,Teacher,1,+91 6276224757,jeremiahbala@college.edu,"65/37, Padmanabhan Circle",Saharanpur,Jharkhand,108905,9.48,73,B-,Chess,NCC,Data Scientist,Yes,None,+91 8911224902
STU00320,2026ME0320,Amaira Subramaniam,Female,20,ME,4,7,Renewable Energy Systems | Mechatronics | Elective IV | Seminar,Timothy Subramaniam,Radha Subramaniam,Police Officer,Farmer,1,+91 7345216347,amairasubramaniam@college.edu,"84/394, Savant Path",Bally,Goa,131377,8.05,94,A+,Gaming,Coding Club,Software Engineer,No,Merit,+91 9677156602
STU00785,2026ETC0785,Oeshi Bhandari,Male,23,ETC,3,6,Wireless Communication | Embedded Systems | Elective III | Project II,Wazir Bhandari,Nimrat Bhandari,Government Employee,Police Officer,3,+91 6672757266,oeshibhandari@college.edu,"54/16
Loyal Nagar",Hubli–Dharwad,Sikkim,359161,8.65,78,B-,Reading,Music Club,Pilot,No,SC,+91 8055907695
STU01549,2026EE1549,Anirudh Kara,Female,19,EE,4,8,Advanced Power Systems | Sustainable Energy | Elective V | Capstone Project,William Kara,Prisha Kara,Government Employee,Businessman,4,+91 8638263384,anirudhkara@college.edu,"59/782
Tara Circle",Tadipatri,Telangana,991637,7.31,60,AB-,Football,NSS,Software Engineer,Yes,SC,+91 8486028298
STU00646,2026IIOT0646,Zaitra Verma,Female,24,IIOT,4,8,Digital Twin Technology | IIoT Applications | Elective V | Capstone Project,Kiaan Verma,Aarna Verma,Farmer,Government Employee,2,+91 7666308539,zaitraverma@college.edu,"56/157
Balasubramanian Ganj",Ahmedabad,Goa,388001,8.82,94,B+,Reading,Photography Club,AI Engineer,No,Merit,+91 9541732691
STU02902,2026CT2902,Varsha Purohit,Male,17,CT,2,4,Computer Networks | Software Engineering | Theory of Computation | Elective I,Devansh Purohit,Kamala Purohit,Teacher,Government Employee,1,+91 7126111130,varshapurohit@college.edu,"42/245, Muni Zila",Aizawl,Rajasthan,645360,9.02,94,B-,Football,Drama Club,AI Engineer,Yes,EWS,+91 8156131047
STU00497,2026EC0497,Gopal Thakur,Female,18,EC,3,6,Wireless Communication | Embedded Systems | Elective III | Project II,Dev Thakur,Oviya Thakur,Engineer,Government Employee,3,+91 8209898204,gopalthakur@college.edu,"92, Shetty Marg",Hajipur,Uttarakhand,346023,7.99,68,O-,Chess,NSS,Software Engineer,No,None,+91 9154302380
STU02920,2026IIOT2920,Shivansh Dara,Female,17,IIOT,3,5,IoT Protocols | Cloud Computing | Elective II | Project I,Lakshit Dara,Oni Dara,Engineer,Businessman,4,+91 8461082041,shivanshdara@college.edu,"03/17, Srivastava",Alappuzha,Goa,266852,8.95,64,A-,Robotics,Drama Club,Pilot,Yes,Merit,+91 6666924735
STU00375,2026AE0375,Jagvi Talwar,Female,18,AE,3,6,Space Engineering | Aircraft Design | Elective III | Project II,Alexander Talwar,Varsha Talwar,Farmer,Businessman,1,+91 8976276463,jagvitalwar@college.edu,"38/11, Gole Circle",Yamunanagar,Tripura,831583,9.76,63,A+,Drawing,Photography Club,AI Engineer,Yes,Merit,+91 6980100549
STU03612,2026AIML3612,Kevin Devan,Female,19,AI/ML,4,8,Advanced AI Applications | Generative AI | Elective V | Capstone Project,Vedant Devan,Omisha Devan,Businessman,Government Employee,2,+91 8578333914,kevindevan@college.edu,"H.No. 591, Murthy Street",Begusarai,Mizoram,040045,5.79,68,B-,Cricket,NCC,Data Scientist,No,OBC,+91 6018909881
STU03135,2026CS3135,Radha Batta,Female,17,CS,3,5,Artificial Intelligence | Web Development | Compiler Design | Elective I,Jeremiah Batta,Jalsa Batta,Government Employee,Engineer,1,+91 7368118048,radhabatta@college.edu,"H.No. 901
Behl Path",Ambarnath,Haryana,309092,8.29,73,B+,Drawing,Robotics Club,Entrepreneur,Yes,EWS,+91 6723140258
STU02689,2026ETC2689,Eesha Hari,Male,22,ETC,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Aayush Hari,Damyanti Hari,Teacher,Police Officer,1,+91 6674536577,eeshahari@college.edu,"31/07
Pandit Road",Baranagar,Haryana,109020,6.76,84,AB+,Cricket,NSS,AI Engineer,No,EWS,+91 9532301133
STU01744,2026RE1744,Kala Edwin,Male,18,RE,3,5,Energy Auditing | Sustainable Engineering | Elective II | Project I,Ansh Edwin,Vedika Edwin,Engineer,Farmer,1,+91 9637713468,kalaedwin@college.edu,"813
Bassi Chowk",Firozabad,Goa,250096,6.25,78,B-,Music,Sports Club,Robotics Engineer,Yes,None,+91 8205565976
STU02349,2026IT2349,Caleb Vala,Male,23,IT,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Girindra Vala,Yashvi Vala,Doctor,Engineer,1,+91 6541708708,calebvala@college.edu,"50/199
Naik Path",Satara,Mizoram,035821,8.95,79,A+,Cricket,Coding Club,AI Engineer,Yes,None,+91 6319797878
STU02486,2026CT2486,Pranav Ganesan,Male,20,CT,3,5,Cloud Computing | Cybersecurity | Elective II | Compiler Design,Chakradhar Ganesan,Sanaya Ganesan,Engineer,Police Officer,4,+91 8150368366,pranavganesan@college.edu,"27
Prabhu Zila",Anantapuram,Sikkim,491542,6.75,76,O+,Music,Drama Club,Professor,Yes,None,+91 6338846914
STU00627,2026DS0627,Advik Devan,Female,17,DS,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Brijesh Devan,Anjali Devan,Doctor,Teacher,2,+91 9737609433,advikdevan@college.edu,"H.No. 109, Barman Chowk",Mira-Bhayandar,Haryana,643461,7.57,62,A+,Cricket,Coding Club,Robotics Engineer,No,SC,+91 6553609115
STU01182,2026EC1182,Chameli Varkey,Female,23,EC,4,8,5G Networks | IoT Communication | Elective V | Capstone Project,Manan Varkey,Gayathri Varkey,Police Officer,Doctor,1,+91 8527347029,chamelivarkey@college.edu,"30/136, Subramanian Path",Durg,Goa,198945,7.61,95,A+,Music,Coding Club,Entrepreneur,Yes,None,+91 7430110414
STU00532,2026CS0532,Gautam Srivastava,Female,21,CS,4,7,Big Data Analytics | Mobile App Development | Elective III | Project I,Christopher Srivastava,Mahika Srivastava,Government Employee,Lawyer,0,+91 6522671149,gautamsrivastava@college.edu,"726, Palan Street",Srikakulam,Odisha,591553,8.36,95,O+,Chess,Music Club,Professor,No,ST,+91 7423772961
STU00437,2026CT0437,Frederick Sarna,Male,17,CT,3,6,AI Fundamentals | Mobile Computing | Elective III | Project I,Nicholas Sarna,Widisha Sarna,Engineer,Government Employee,4,+91 9024571275,fredericksarna@college.edu,"87/996, Tailor Ganj",Rajahmundry,Punjab,224470,6.87,83,O-,Chess,NSS,Robotics Engineer,No,ST,+91 7959051830
STU01315,2026CE1315,Nikita Kadakia,Male,18,CE,3,5,Design of Structures | Water Resources Engineering | Elective II | Project I,Harsh Kadakia,Sanya Kadakia,Engineer,Businessman,3,+91 9944852070,nikitakadakia@college.edu,"32, Oza Zila",Proddatur,Chhattisgarh,324030,9.57,76,B-,Photography,Sports Club,AI Engineer,Yes,ST,+91 7470703334
STU00409,2026RE0409,Rajata Jha,Male,19,RE,3,5,Energy Auditing | Sustainable Engineering | Elective II | Project I,Rayaan Jha,Tripti Jha,Doctor,Engineer,0,+91 8927671681,rajatajha@college.edu,"59/113
Kanda Marg",Thiruvananthapuram,Uttar Pradesh,788688,5.59,73,B+,Drawing,Music Club,Research Scientist,No,EWS,+91 9700964315
STU02081,2026DS2081,Yashica Prabhakar,Male,21,DS,3,5,Data Mining | Big Data Analytics | Elective II | Project I,Isaac Prabhakar,Zaitra Prabhakar,Farmer,Businessman,4,+91 7859596197,yashicaprabhakar@college.edu,"63/889
Srivastava Marg",Davanagere,Gujarat,744099,8.8,92,O+,Drawing,Drama Club,Entrepreneur,No,ST,+91 9506673139
STU02748,2026RE2748,Fiyaz Bassi,Female,20,RE,3,6,Green Building Design | Hybrid Energy Systems | Elective III | Project II,Hardik Bassi,Ishanvi Bassi,Businessman,Government Employee,3,+91 8800981945,fiyazbassi@college.edu,"24/98
Chandra Road",Gandhinagar,Punjab,303731,8.95,85,O+,Football,Coding Club,AI Engineer,No,ST,+91 7463889421
STU03218,2026AE3218,Samaksh Palla,Female,19,AE,2,3,Fluid Mechanics | Aerodynamics I | Material Science | Aircraft Structures I,Jairaj Palla,Amara Palla,Teacher,Engineer,3,+91 8957870839,samakshpalla@college.edu,"60/518
Sharaf Road",Yamunanagar,Himachal Pradesh,495959,5.92,94,O+,Football,NSS,Data Scientist,Yes,EWS,+91 7342223184
STU00323,2026CE0323,Oviya Deol,Female,22,CE,4,7,Advanced Structural Design | Urban Planning | Elective IV | Seminar,Fariq Deol,Ekani Deol,Government Employee,Businessman,3,+91 8928765801,oviyadeol@college.edu,"70, Uppal Nagar",Kharagpur,Punjab,278655,8.48,60,O-,Robotics,Sports Club,AI Engineer,No,SC,+91 8066686959
STU01966,2026EE1966,Yash Nayak,Female,24,EE,1,1,Mathematics I | Physics | Chemistry | English Communication,Dev Nayak,Raksha Nayak,Lawyer,Farmer,3,+91 6342620625,yashnayak@college.edu,"H.No. 563
Mander Street",Chittoor,Sikkim,137516,8.78,94,AB-,Chess,NCC,Pilot,Yes,SC,+91 6403356443
STU03139,2026EC3139,Azaan Mahajan,Female,21,EC,3,5,Digital Communication | VLSI Design | Elective II | Project I,Ekansh Mahajan,Gauri Mahajan,Doctor,Police Officer,4,+91 6352469774,azaanmahajan@college.edu,"13
Goda Ganj",Bhiwani,Bihar,125812,9.04,93,O-,Music,Robotics Club,Research Scientist,No,EWS,+91 9968024317
STU03553,2026ME3553,Inaya Badal,Male,23,ME,2,3,Fluid Mechanics | Manufacturing Processes | Kinematics of Machines | Material Science,Samaksh Badal,Vrishti Badal,Farmer,Doctor,4,+91 7704097942,inayabadal@college.edu,"37, Choudhary Nagar",Parbhani,Kerala,691296,9.31,88,B-,Photography,Music Club,Robotics Engineer,No,OBC,+91 6956538611
STU02578,2026AIML2578,Omisha Pandit,Female,21,AI/ML,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Rushil Pandit,Widisha Pandit,Teacher,Police Officer,2,+91 8721477756,omishapandit@college.edu,"94, Panchal Chowk",Sasaram,Himachal Pradesh,339993,6.08,70,A-,Drawing,Sports Club,Professor,No,Merit,+91 8498067100
STU01547,2026ETC1547,Lipika Chana,Female,23,ETC,1,1,Mathematics I | Physics | Programming Fundamentals | English Communication,Girish Chana,Dalaja Chana,Government Employee,Lawyer,0,+91 7733281628,lipikachana@college.edu,"228
Mani Ganj",Begusarai,Mizoram,957045,5.76,91,AB+,Coding,Sports Club,Entrepreneur,No,None,+91 7313981761
STU03648,2026IT3648,Irya Jhaveri,Male,18,IT,3,6,AI Fundamentals | Big Data Analytics | Elective III | Project I,Bakhshi Jhaveri,Mohini Jhaveri,Police Officer,Government Employee,2,+91 7633311607,iryajhaveri@college.edu,"H.No. 17
Ratta Marg",Surendranagar Dudhrej,Nagaland,881733,9.18,74,B+,Cricket,Photography Club,Robotics Engineer,Yes,ST,+91 9028996541
STU03888,2026AIML3888,Advay Raval,Female,17,AI/ML,2,3,Algorithms | Database Systems | Operating Systems | Probability & Statistics,Onveer Raval,Garima Raval,Police Officer,Farmer,3,+91 8868040202,advayraval@college.edu,"13/30, Divan Nagar",Bharatpur,Bihar,869031,6.01,63,O+,Reading,NCC,Data Scientist,No,OBC,+91 8191247161
